id,area,subject
0,COMPREENSÃO E INTERPRETAÇÃO DE TEXTOS,Compreensão e interpretação de textos
1,ESTRUTURAS GRAMATICAIS,"Substantivos: gênero, número, contáveis e incontáveis"
2,ESTRUTURAS GRAMATICAIS,"Pronomes: pessoal, oblíquo, possessivo, reflexivo, demonstrativo, relativo, indefinido e interrogativo"
3,ESTRUTURAS GRAMATICAIS,Adjetivos: graus comparativo e superlativo
4,ESTRUTURAS GRAMATICAIS,Preposições
5,ESTRUTURAS GRAMATICAIS,Conjunções
6,ESTRUTURAS GRAMATICAIS,Advérbios
7,ESTRUTURAS GRAMATICAIS,Numerais
8,ESTRUTURAS GRAMATICAIS,Artigos: definidos e indefinidos
9,ESTRUTURAS GRAMATICAIS,"Verbos: tempos, modos, formas e vozes"
10,ESTRUTURAS GRAMATICAIS,Caso possessivo
11,ESTRUTURAS GRAMATICAIS,Questiontag e respostas curtas
12,ESTRUTURAS GRAMATICAIS,Estrutura da oração
13,ESTRUTURAS GRAMATICAIS,"Período composto: orações condicionais, relativas, apositivas, etc"
14,ESTRUTURAS GRAMATICAIS,Discursos: direto e indireto
